"id","extralabel","name","latitude","longitude","Netherlands"
"NLHLGH","SmallStation","Harlingen Haven","53.1747","5.4114","Netherlands"
"NLHLN","Switch","Haelen","51.228","5.9431","Netherlands"
"NLHM","SmallStation","Helmond","51.4752","5.6605","Netherlands"
"NLHMLA","Junction","Harmelen aansl.","52.1018","4.944","Netherlands"
"NLHMTA","Junction","Hemtunnel aansl.","52.4047","4.8031","Netherlands"
"NLHNO","SmallStation","Heino","52.4277","6.2208","Netherlands"
"NLHR","SmallStation","Heerenveen","52.9624","5.9134","Netherlands"
"NLHRL","Station","Heerlen","50.8909","5.9746","Netherlands"
"NLHRT","SmallStation","Horst-Sevenum","51.427","6.0412","Netherlands"
"NLHT","Station","'s-Hertogenbosch","51.6907","5.2938","Netherlands"
"NLHTBA","Junction","Hattemerbroek Aansl.","52.4882","6.0545","Netherlands"
"NLHTN","Station","Houten","52.0344","5.1679","Netherlands"
"NLHVS","Station","Hilversum","52.2264","5.1818","Netherlands"
"NLHW","Switch","Halfweg","52.3864","4.7447","Netherlands"
"NLHWD","Station","Heerhugowaard","52.6704","4.8238","Netherlands"
"NLKBK","SmallStation","Klarenbeek","52.1781","6.084","Netherlands"
"NLKFH","ShuntingYard","Kijfhoek","51.8364","4.588","Netherlands"
"NLKFHAZ","Junction","Kijfhoek aansl. Zuid","51.8215","4.6262","Netherlands"
"NLKG","Switch","Koekange","52.7041","6.3125","Netherlands"
"NLKPN","SmallStation","Kampen","52.5595","5.9224","Netherlands"
"NLKPNZ","SmallStation","Kampen Zuid","52.5329","5.9134","Netherlands"
"NLKRD","Station","Kerkrade Centrum","50.8609","6.0572","Netherlands"
"NLKRG","SmallStation","Kruiningen-Yerseke","51.4655","4.0365","Netherlands"
"NLKRGE","TrainTechnicalServices","De Kragge","51.5093","4.3445","Netherlands"
"NLKV","Junction","Keverdijk","52.2961","5.0872","Netherlands"
"NLLAA","Station","Laan van NOI (Den Haag )","52.0789","4.3428","Netherlands"
"NLLC","SmallStation","Lochem","52.1668","6.4271","Netherlands"
"NLLDD","DepotOrWorkshop","Leidschendam","52.0662","4.3981","Netherlands"
"NLLDM","SmallStation","Leerdam","51.8947","5.0936","Netherlands"
"NLLEDN","PassengerTerminal","Leiden Centraal","52.1665","4.4823","Netherlands"
"NLLEK","SmallStation","Lekbrug aansl.","51.9663","5.208","Netherlands"
"NLLG","Station","Landgraaf","50.8965","6.0198","Netherlands"
"NLLIS","Switch","Lisse","52.2764","4.5372","Netherlands"
"NLLP","SmallStation","Loppersum","53.3348","6.7474","Netherlands"
"NLLPE","Junction","Liempde","51.5567","5.3463","Netherlands"
"NLLR","Switch","Laren-Almen","52.1706","6.3285","Netherlands"
"NLLTM","Switch","Lottum","51.4378","6.1306","Netherlands"
"NLLTV","SmallStation","Lichtenvoorde-Groenlo","52.012","6.5963","Netherlands"
"NLLUTA","PrivateSiding","Lutterade aansl","50.9821","5.8341","Netherlands"
"NLLW","Station","Leeuwarden","53.1957","5.7893","Netherlands"
"NLLWD","Junction","Lewedorp","51.499","3.703","Netherlands"
"NLMBGA","Junction","Muiderberg aansl.","52.3109","5.0766","Netherlands"
"NLMBT","Switch","Maasbracht","51.1402","5.9248","Netherlands"
"NLMDA","Junction","Moordrecht aansl.","52.0131","4.6689","Netherlands"
"NLMDAZ","Switch","Moordrecht aansl. Zuid","52.01","4.6426","Netherlands"
"NLMDB","SmallStation","Middelburg","51.4954","3.6192","Netherlands"
"NLMDO","Switch","Moordrecht overloopw.","52.0047","4.6578","Netherlands"
"NLMG","SmallStation","Mantgum","53.1301","5.7135","Netherlands"
"NLMLO","Switch","Meerlo-Tienraij","51.4892","6.0884","Netherlands"
"NLMMLH","SmallStation","Mook Molenhoek","51.768","5.8798","Netherlands"
"NLMP","Station","Meppel","52.6909","6.1975","Netherlands"
"NLMRB","Station","Mariënberg","52.5089","6.5743","Netherlands"
"NLMRG","ShuntingYard","Maarn goed. empl.","52.066","5.3425","Netherlands"
"NLMT","Station","Maastricht","50.8483","5.7064","Netherlands"
"NLMTR","Station","Maastricht Randwijck","50.838","5.7175","Netherlands"
"NLMVT","ShuntingYard","Maasvlakte","51.935","4.0343","Netherlands"
"NLMVTW","ShuntingYard","Maasvlakte West","51.9362","4.0293","Netherlands"
"NLMVTYN","FreightTerminal","Maasvlakte Yangtzehaven Noord","51.9809","4.0283","Netherlands"
"NLMVTYZ","FreightTerminal","Maasvlakte Yangtzehaven Zuid","51.9493","4.0021","Netherlands"
"NLMZ","SmallStation","Maarheeze","51.305","5.6298","Netherlands"
"NLNA","SmallStation","Nieuw Amsterdam","52.7186","6.8487","Netherlands"
"NLNDB","SmallStation","Naarden-Bussum","52.2803","5.1573","Netherlands"
"NLNKK","SmallStation","Nijkerk","52.2222","5.4937","Netherlands"
